# buoy ID | latitude | longitude | type           | anemometer height | air temp height | barometer height | sst depth
44011     | 41.093   | -66.562   | OCEAN_BUOY     | 4.1               | 3.7             | 2.7              | 1.5
44013     | 42.346   | -70.651   | OCEAN_BUOY     | 3.2               | 2.8             | 1.8              | 1.1
44014     | 36.609   | -74.842   | OCEAN_BUOY     | 3.2               | 2.8             | 1.8              | 1.1
44017     | 40.693   | -72.049   | OCEAN_BUOY     | 4.1               | 3.7             | 2.7              | 1.5
44018     | 42.203   | -70.154   | OCEAN_BUOY     | 4.1               | 3.7             | 2.7              | 1.5
44020     | 41.493   | -70.279   | OCEAN_BUOY     | 4.1               | 3.7             | 2.7              | 1.5
44022     | 40.883   | -73.728   | COAST_BUOY     | 3.5               | 3.0             | NaN              | 1.0
44024     | 42.325   | -65.909   | OCEAN_BUOY     | 4.0               | 3.0             | 3.0              | 1.0
44025     | 40.251   | -73.164   | OCEAN_BUOY     | 4.1               | 3.7             | 2.7              | 1.5
44027     | 44.283   | -67.3     | OCEAN_BUOY     | 4.1               | 3.7             | 2.7              | 1.5
44029     | 42.523   | -70.566   | OCEAN_BUOY     | 4.0               | 3.0             | 3.0              | 1.0
44030     | 43.179   | -70.426   | OCEAN_BUOY     | 4.0               | 3.0             | 3.0              | 1.0
44032     | 43.715   | -69.355   | OCEAN_BUOY     | 4.0               | 3.0             | 3.0              | 1.0
44033     | 44.055   | -68.996   | COAST_BUOY     | 4.0               | 3.0             | 3.0              | 1.0
44034     | 44.103   | -68.112   | OCEAN_BUOY     | 4.0               | 3.0             | 3.0              | 1.0
44037     | 43.497   | -67.876   | OCEAN_BUOY     | 4.0               | 3.0             | 3.0              | 1.0
44039     | 41.138   | -72.655   | OCEAN_BUOY     | 3.5               | 3.0             | NaN              | 1.0
44040     | 40.956   | -73.58    | OCEAN_BUOY     | 3.5               | 3.0             | NaN              | 1.0
44041     | 37.211   | -76.787   | COAST_BUOY     | 3.0               | 3.0             | 1.0              | 0.5
44042     | 38.033   | -76.335   | COAST_BUOY     | 3.0               | 3.0             | 1.0              | 0.5
44043     | 39.152   | -76.391   | COAST_BUOY     | 3.0               | 3.0             | 1.0              | 0.5
44057     | 39.54    | -76.074   | COAST_BUOY     | 3.0               | 3.0             | 1.0              | 0.5
44058     | 37.567   | -76.257   | COAST_BUOY     | 3.0               | 3.0             | 1.0              | 0.5
44059     | 36.846   | -76.298   | COAST_BUOY     | 3.0               | 3.0             | 1.0              | 0.5
44060     | 41.263   | -72.067   | COAST_BUOY     | 3.5               | 3.0             | NaN              | 1.0
44062     | 38.556   | -76.415   | OCEAN_BUOY     | 3.0               | 3.0             | 1.0              | 0.5
44063     | 38.963   | -76.448   | COAST_BUOY     | 3.0               | 3.0             | 1.0              | 0.5
44064     | 36.998   | -76.087   | OCEAN_BUOY     | 3.0               | 3.0             | 1.0              | 0.5
44065     | 40.369   | -73.703   | OCEAN_BUOY     | 4.1               | 3.7             | 2.7              | 1.5
44066     | 39.618   | -72.644   | OCEAN_BUOY     | 4.1               | 3.7             | 2.7              | 1.5
44069     | 40.698   | -73.087   | COAST_BUOY     | 3.0               | 3.0             | NaN              | 1.0
44072     | 37.201   | -76.266   | OCEAN_BUOY     | 3.0               | 3.0             | 1.0              | 0.5
45001     | 48.061   | -87.793   | LAKE_BUOY      | 3.2               | 2.8             | 184.8            | 1.1
45002     | 45.344   | -86.411   | LAKE_BUOY      | 3.2               | 2.8             | 178.4            | 1.1
45003     | 45.351   | -82.84    | LAKE_BUOY      | 5.0               | 4.5             | 177.5            | 0.4
45004     | 47.585   | -86.585   | LAKE_BUOY      | 3.6               | 3.3             | 185.3            | 1.3
45005     | 41.677   | -82.398   | LAKE_BUOY      | 3.5               | 3.8             | 176.3            | 1.6
45006     | 47.335   | -89.793   | LAKE_BUOY      | 3.6               | 3.3             | 185.3            | 1.3
45007     | 42.674   | -87.026   | LAKE_BUOY      | 3.6               | 3.3             | 178.3            | 1.3
45008     | 44.283   | -82.416   | LAKE_BUOY      | 3.6               | 3.3             | 179.3            | 1.3
45012     | 43.621   | -77.401   | LAKE_BUOY      | 3.6               | 3.3             | 77.0             | 1.3
45013     | 43.1     | -87.85    | LAKE_BUOY      | 2.0               | 2.0             | 178.0            | 0.0
45014     | 44.795   | -87.759   | LAKE_BUOY      | 2.0               | 2.0             | 178.0            | 0.0
45020     | 44.789   | -85.604   | LAKE_BUOY      | 2.4               | 2.4             | NaN              | NaN
45022     | 45.405   | -85.087   | LAKE_BUOY      | 2.95              | 2.64            | 178.64           | 1.0
45023     | 47.27    | -88.607   | LAKE_BUOY      | 3.0               | 2.8             | NaN              | 3.0
45024     | 43.981   | -86.556   | LAKE_BUOY      | 2.95              | 2.64            | 178.64           | NaN
45025     | 46.969   | -88.398   | LAKE_BUOY      | 3.0               | 2.8             | 185.8            | 3.0
45026     | 41.982   | -86.619   | LAKE_BUOY      | 3.0               | 3.0             | NaN              | 1.0
45027     | 46.86    | -91.93    | LAKE_BUOY      | 3.0               | 3.0             | 185.5            | 1.0
45028     | 46.814   | -91.829   | LAKE_BUOY      | 3.0               | 3.0             | 185.5            | 1.0
45029     | 42.9     | -86.272   | LAKE_BUOY      | 3.0               | 3.0             | NaN              | 1.0
45161     | 43.182   | -86.36    | LAKE_BUOY      | 2.3               | 2.3             | NaN              | 1.0
45162     | 44.988   | -83.27    | LAKE_BUOY      | 2.3               | 2.3             | NaN              | 1.0
45163     | 43.985   | -83.596   | LAKE_BUOY      | 2.3               | 2.3             | NaN              | 1.0
45164     | 41.748   | -81.698   | LAKE_BUOY      | 1.0               | 2.3             | NaN              | 1.0
45165     | 41.702   | -83.261   | LAKE_BUOY      | 2.0               | 2.0             | NaN              | 1.0
45166     | 44.785   | -73.258   | LAKE_BUOY      | 2.5               | 2.0             | NaN              | 1.0
45167     | 42.185   | -80.135   | LAKE_BUOY      | 2.0               | 2.0             | 175.0            | 1.0
45168     | 42.397   | -86.331   | LAKE_BUOY      | 3.0               | 3.0             | NaN              | 1.0
45169     | 41.615   | -81.821   | LAKE_BUOY      | 2.75              | 2.75            | 176.75           | 0.7
45169     | 41.615   | -81.821   | LAKE_BUOY      | 2.75              | 2.75            | 176.75           | 0.7
45170     | 41.755   | -86.968   | LAKE_BUOY      | 1.5               | 1.0             | NaN              | 1.0
45171     | 46.724   | -87.411   | LAKE_BUOY      | 0.82              | 0.82            | 178.82           | 0.7
45172     | 46.74    | -85.98    | LAKE_BUOY      | 0.82              | 0.82            | 178.82           | 0.7
45173     | 46.573   | -86.572   | LAKE_BUOY      | 2.0               | 2.75            | 180.75           | 1.0
45174     | 42.135   | -87.655   | LAKE_BUOY      | 3.0               | 3.0             | 179.0            | 1.0
45175     | 45.825   | -84.772   | LAKE_BUOY      | 3.0               | 3.0             | 179.0            | 1.0
45176     | 41.55    | -81.765   | LAKE_BUOY      | 3.0               | 3.0             | 177.0            | 1.0
45178     | 44.603   | -73.394   | LAKE_BUOY      | 1.0               | 1.0             | 31.0             | 1.0
45179     | 47.195   | -87.224   | LAKE_BUOY      | 0.6               | 0.6             | 178.6            | 0.7
45183     | 44.982   | -85.831   | LAKE_BUOY      | 2.0               | 2.0             | 178.0            | 1.0
45186     | 42.368   | -87.795   | LAKE_BUOY      | 1.5               | 1.0             | NaN              | 1.0
45187     | 42.491   | -87.779   | LAKE_BUOY      | 1.5               | 1.0             | NaN              | 1.0
45T01     | 48.008   | -87.666   | LAKE_BUOY      | 3.2               | 2.8             | 185.0            | 0.5
46001     | 56.3     | -148.018  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
46002     | 42.662   | -130.507  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
