# buoy ID | latitude | longitude | type
45167     | 42.185   | -80.135   | LAKE_BUOY
45168     | 42.397   | -86.331   | LAKE_BUOY
45169     | 41.615   | -81.821   | LAKE_BUOY
45170     | 41.755   | -86.968   | LAKE_BUOY
45171     | 46.724   | -87.411   | LAKE_BUOY
45172     | 46.74    | -85.98    | LAKE_BUOY
45173     | 46.573   | -86.572   | LAKE_BUOY
45174     | 42.135   | -87.655   | LAKE_BUOY
45175     | 45.825   | -84.772   | LAKE_BUOY
45176     | 41.55    | -81.765   | LAKE_BUOY
45178     | 44.603   | -73.394   | LAKE_BUOY
45179     | 47.195   | -87.224   | LAKE_BUOY
45183     | 44.982   | -85.831   | LAKE_BUOY
45186     | 42.368   | -87.795   | LAKE_BUOY
45187     | 42.491   | -87.779   | LAKE_BUOY
45T01     | 48.008   | -87.666   | LAKE_BUOY
46001     | 56.3     | -148.018  | OCEAN_BUOY
46002     | 42.662   | -130.507  | OCEAN_BUOY
46005     | 46.134   | -131.079  | OCEAN_BUOY
46006     | 40.764   | -137.377  | OCEAN_BUOY
46011     | 34.936   | -120.998  | OCEAN_BUOY
46012     | 37.356   | -122.881  | OCEAN_BUOY
46013     | 38.235   | -123.317  | OCEAN_BUOY
46014     | 39.231   | -123.974  | OCEAN_BUOY
46015     | 42.752   | -124.844  | OCEAN_BUOY
46022     | 40.748   | -124.527  | OCEAN_BUOY
46025     | 33.755   | -119.045  | OCEAN_BUOY
46026     | 37.754   | -122.839  | OCEAN_BUOY
46027     | 41.84    | -124.382  | OCEAN_BUOY
46028     | 35.77    | -121.903  | OCEAN_BUOY
46029     | 46.163   | -124.487  | OCEAN_BUOY
46035     | 57.016   | -177.703  | OCEAN_BUOY
46041     | 47.352   | -124.739  | OCEAN_BUOY
46042     | 36.785   | -122.396  | OCEAN_BUOY
46047     | 32.388   | -119.525  | OCEAN_BUOY
46050     | 44.669   | -124.546  | OCEAN_BUOY
46053     | 34.241   | -119.839  | OCEAN_BUOY
46054     | 34.274   | -120.468  | OCEAN_BUOY
46059     | 38.053   | -129.967  | OCEAN_BUOY
46060     | 60.586   | -146.787  | OCEAN_BUOY
46061     | 60.238   | -146.833  | OCEAN_BUOY
46066     | 52.765   | -155.009  | OCEAN_BUOY
46069     | 33.677   | -120.213  | OCEAN_BUOY
46070     | 55.008   |  175.183  | OCEAN_BUOY
46071     | 51.022   |  179.784  | OCEAN_BUOY
46072     | 51.666   | -172.114  | OCEAN_BUOY
46073     | 55.008   | -172.012  | OCEAN_BUOY
46075     | 53.969   | -160.794  | OCEAN_BUOY
46076     | 59.471   | -148.009  | OCEAN_BUOY
46077     | 57.869   | -154.211  | OCEAN_BUOY
46078     | 55.557   | -152.641  | OCEAN_BUOY
46080     | 57.947   | -150.042  | OCEAN_BUOY
46081     | 60.802   | -148.283  | COAST_BUOY
46082     | 59.67    | -143.353  | OCEAN_BUOY
46083     | 58.27    | -138.019  | OCEAN_BUOY
46084     | 56.622   | -136.102  | OCEAN_BUOY
46085     | 55.878   | -142.876  | OCEAN_BUOY
46086     | 32.499   | -118.052  | OCEAN_BUOY
46087     | 48.493   | -124.727  | OCEAN_BUOY
46088     | 48.332   | -123.179  | OCEAN_BUOY
46089     | 45.936   | -125.793  | OCEAN_BUOY
46094     | 44.642   | -124.3    | OCEAN_BUOY
46096     | 46.173   | -124.127  | OCEAN_BUOY
46097     | 44.639   | -124.304  | OCEAN_BUOY
46098     | 44.378   | -124.947  | OCEAN_BUOY
46099     | 46.988   | -124.567  | OCEAN_BUOY
46100     | 46.851   | -124.964  | OCEAN_BUOY
46118     | 48.724   | -122.576  | COAST_BUOY
46119     | 47.967   | -124.95   | OCEAN_BUOY
46125     | 47.907   | -122.627  | COAST_BUOY
46127     | 46.215   | -124.063  | COAST_BUOY
51000     | 23.528   | -153.792  | COAST_BUOY
51000     | 23.528   | -153.792  | COAST_BUOY
